College,Playground,Auditorium,Theatre,Library,Laboratory,Conference Hall,Health Center,Gymnasium/ Fitness Center,Indoor Stadium,Common Room,Computer Center,Cafeteria,Guest House
"098 HANSABA COLLEGE OF ENGINEERING & TECHNOLOGY, SIDDHPUR (Id: C-45059)",Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
"099 SHROFF S R ROTARY INSTITUTE OF CHEMICAL TECHNOLOGY VATARIA, BHARUCH (Id: C-45045)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"100001-KCES'S MOOLJEE JAITHA COLLEGE, JALGAON. (Id: C-8888)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"100002-JDMVP CO-OP S'S ARTS, COMMERCE & SCIENCE COLLEGE, JALGAON. (Id: C-8913)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
"100003-EU'S DR. ANNASAHEB G.D.BENDALE MAHILA MAHAVIDYALAYA, JALGAON. (Id: C-8979)",Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"100004-KCES'S COLLEGE OF EDUCATION, JALGAON. (Id: C-8922)",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
"100005-KCES'S S.S.MANIYAR LAW COLLEGE, JALGAON. (Id: C-9030)",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"100006-KRES'S ADV.SITARAM (BABANBHAU) A.BAHETI ARTS,COMMERCE&SCIENCE COLLEGE, JALGAON (Id: C-9025)",Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No
"100007-SSBT'S COLLEGE OF ENGINEERING & TECHNOLOGY, BAMBHORI. (Id: C-8977)",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"100008-SES'S COLLEGE OF PHYSICAL EDUCATION, JALGAON. (Id: C-8876)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
"100009-IES'S H.J.THIM COLLEGE OF ARTS&SCIENCE, MEHRUN. (Id: C-8940)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No
"100010-KCES'S INSTITUTE OF MANAGEMENT & RESEARCH, JALGAON. (Id: C-9027)",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"100043-IES'S IQRA COLLEGE OF EDUCATION, MEHRUN. (Id: C-8833)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
"100054-GOVERNMENT COLLEGE OF ENGINEERING, JALGAON. (Id: C-8946)",Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
"100055-DNCVP'S COLLEGE OF SOCIAL WORK, JALGAON. (Id: C-8918)",Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No
"100060-DNCVP'S CHETANA INSTITUTE OF COMPUTER MANAGEMENT & RESEARCH, JALGAON (Id: C-8812)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"100061-SE&CM'S SHRI GULABRAO DEOKAR COLLEGE OF ENGINEERING, JALGAON. (Id: C-8860)",No,No,No,No,No,No,No,No,No,No,No,No,No
"100062-K.A.K.P. SANSHTA'S COMMERCE & SCIENCE COLLEGE, JALGAON (Id: C-8862)",Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No
"100063-GF'S GODAVARI COLLEGE OF ENGINEERING, JALGAON (Id: C-8836)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"100066-DNCVP'S ARTS & SCIENCE COLLEGE, JALGAON (Id: C-8907)",No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No
"100074-GODAVARI FOUNDATION'S DR.ULHAS PATIL COLLEGE OF SCIENCE&COMMERCE,JALGAON. (Id: C-8943)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
100081-GODAVARI FOUNDATION'S GODAVARI INSTITUTE OF MANAGEMENT & RESEARCH JALGAON (Id: C-8905),Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
"100084-KCES'S COLLEGE OF ENGINEERING & INFORMATION TECHNOLOGY, JALGAON (Id: C-8815)",Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"100089-GFS'S GODAVARI COLLEGE OF MUSIC & FINE ARTS,JALGAON (Id: C-9023)",No,No,No,No,No,No,No,No,No,No,No,No,No
"100090-GFS'S DR.ULHAS PATIL LAW COLLEGE, JALGAON (Id: C-8899)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
"100092-LATE B.R.KOLHE SS'S LALIT KALA MAHAVIDYALAYA, JALGAON. (Id: C-8903)",Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No
"100094-COLLEGE OF ARCHITECTURE, JALGAON (Id: C-10236)",No,No,No,No,No,No,No,No,No,No,No,No,No
"100098-JZMDS'S COLLEGE OF PHARMACY,MAMURABAD,JALGAON (Id: C-8852)",Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
"100099-KCES'S EKLAVYA COLLEGE OF PHYSICAL EDUCATION, JALGAON. (Id: C-9000)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
"100100-G.H. RAISONI INSTITUTE OF ENGINEERING & MANAGEMENT, JALGAON. (Id: C-8831)",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
"100101-GHREFS'S G.H. RAISONI INSTITUTE OF INFORMATION TECHNOLOGY, JALGAON. (Id: C-8991)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"100103-SES'S COLLEGE OF EDUCATION, JALGAON. (Id: C-8998)",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"100105-JAI DURGA BHAVANI KRIDA MANDAL'S OM SAI COLLEGE OF EDUCATION, SHIRSOLI (Id: C-8864)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"100110-SMBKMP'S SHRI.CHHATRAPATI RAJE SAMBHAJI COLLEGE OF EDUCATION, JALGAON (Id: C-9013)",Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
"100112-EKES'S RAOSAHEB RUPCHAND SENIOR COLLEGE,JALGAON (Id: C-8813)",No,No,No,No,No,No,No,No,No,No,No,No,No
"100113-KCES'S POST GRADUATE COLLEGE OF SCIENCE TECH.& RESEARCH, JALGAON. (Id: C-8877)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"100 LEADS INSTITUTE OF TECHNOLOGY & ENGINEERING MATAR, BHARUCH (Id: C-45044)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"101 IPCOWALA INSTITUTE OF ENGINEERING & TECHNOLOGY DHARMAJ, ANAND (Id: C-45042)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
"102 OM ENGINEERING COLLEGE CHOKLI, JUNAGADH (Id: C-45052)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
"103 OM INSTITUTE OF TECHNOLOGY VANTAVACHHODA, PANCHAMAHAL (Id: C-45058)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
"107 SHRI J M SABVA INSTITUTE OF ENGINEERING & TECHNOLOGY, BOTAD (Id: C-45047)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
"110012-TES'S BHUSAWAL ARTS,SCIENCE & P.O.NAHATA COMMERCE COLLEGE, BHUSAWAL. (Id: C-8915)",Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"110013-SSVPM'S SMT.P.K.KOTECHA MAHILA MAHAVIDYALAYA, BHUSAWAL. (Id: C-9032)",Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"110015-JDMVP CO-OP S'S ARTS,COMMERCE & SCIENCE COLLEGE, VARANGAON. (Id: C-8834)",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No
"110016-BSCES'S ARTS & COMMERCE COLLEGE, BODVAD. (Id: C-9017)",Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
"110044-TES'S INSTITUTE OF MANAGEMENT & CAREER DEVELOPMENT, BHUSAWAL. (Id: C-8967)",Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No
"110050-THE BHUSAWAL PEOPLES CHARI.SANSTHA'S DADASAHEB DEVIDAS N.BHOLE COLLEGE,BHUSAWAL. (Id: C-8994)",No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes
"110059-HINDI SEVA MANDAL'S SHRI.SANT GADGE BABA COLLEGE OF ENGINEERING & TECHNOLOGY, BHUSAWAL (Id: C-8830)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"110088-K.NARKHEDE COLLEGE OF SCIENCE,BHUSAWAL (Id: C-8850)",Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No
"110102-KYDSCT'S COLLEGE OF PHARMACY, SAKEGAON-BHUSAWAL (Id: C-8936)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"110109-LATE DCBEDT'S BIYANI COLLEGE OF EDUCATION, BHUSAWAL (Id: C-8920)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"120017-KES'S PRATAP COLLEGE, AMALNER. (Id: C-8807)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"120018-NPS'S COLLEGE OF EDUCATION, AMALNER. (Id: C-8989)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"120064-SSES'S PANDIT JAWAHARLAL NEHRU B.S.W. & M.S.W. COLLEGE, AMALNER (Id: C-8951)",No,No,No,No,No,No,No,No,No,No,No,No,No
