SI. No.,Name of Institution,Number of Hostels - Boys,Number of Hostels - Girls,Number of Hostels - Others,Number of Hostels - Total,Intake Capacity - Boys,Intake Capacity - Girls,Intake Capacity - Others,Intake Capacity - Total,Number of Students Residing - Boys,Number of Students Residing - Girls,Number of Students Residing - Others,Number of Students Residing - Total
7767,"Shri Vamdev Sanskrit Mahavidyalaya, Kailashpuri (Id: C-20095)",1,0,0,1,60,NA,NA,60,60,NA,NA,60
7768,Shri Vartantu Sanskrit Mahavidyalaya (Id: C-1141),2,0,0,2,450,NA,NA,450,270,NA,NA,270
7769,"Shri Veer Raghav Bhagvat Sanskrit Mahavidyalaya, Yugal Vihar Kunj, Purana Fatak, Ayodhya (Id: C-19972)",1,0,0,1,50,NA,NA,50,25,NA,NA,25
7770,"Shri Veer Tejaji College, Jaipur (Id: C-38579)",1,0,0,1,50,NA,NA,50,20,NA,NA,20
7771,"Shri Vidyadharm Sanjeevani Sanskrit Mahavidyalaya, (Id: C-20498)",1,0,0,1,120,NA,NA,120,70,NA,NA,70
7772,"Shri Vidyadharmvardhani Pathshala Sanskrit Mahavidyalaya, Gur ki mandi (Id: C-20473)",1,0,0,1,20,NA,NA,20,0,NA,NA,0
7773,Shri Vile Parle Kelavani Mandals Dwarkadas J. Sanghvi College of Engineering Plot No U-15 J V P D Scheme Gulmohar Road Vile Parle (West) Mumbai 400 056 (Id: C-33777),1,1,0,2,30,20,NA,50,3,2,NA,5
7774,SHRI VIRATAPSVI CHANNAVIR SHIVACHARY EDUCATION COLLEGE MIDC AKKLKOT ROAD SOLAPUR DIST-SOLAPUR (Id: C-15702),1,1,0,2,60,60,NA,120,32,60,NA,92
7775,Shri Vishnu College Of Pharmacy (Id: C-24007),1,6,0,7,24,315,NA,339,23,257,NA,280
7776,"Shri Vishnu Engineering College for Women, Vishnupur, Kovvada Village, Bhimavaram, PIN-534202(CC-B0) (Id: C-17962)",0,20,0,20,NA,1920,NA,1920,NA,1605,NA,1605
7777,"Shri Vishwanath Singh Sanskrit Pathshala, Arakha (Id: C-20280)",1,0,0,1,15,NA,NA,15,12,NA,NA,12
7778,"Shri Vitthalbhai Z Patel Commerce College, Anand (Id: C-1210)",0,1,0,1,NA,200,NA,200,NA,26,NA,26
7779,SHRI VITTHAL EDUCATION AND RECARCH INSTIIUTES COLLEGE OF PHARMACY GOPALPUR PB.NO 54 TAL.PANDHARPUR DIST-SOLAPUR (Id: C-15695),2,2,0,4,880,800,NA,1680,48,84,NA,132
7780,"Shri Vivekanand Nursing Home Trusts College of Pharmacy, Shri Shivajinagar,Rahuri Factory, Tal.Rahuri, Dist.Ahmednagar (Id: C-41253)",1,1,0,2,60,60,NA,120,0,41,NA,41
7781,"Shri VJ Patel College of Physical Education, Mogri (Id: C-1174)",1,0,0,1,175,NA,NA,175,20,NA,NA,20
7782,SHRI V S RAVAL EDUCATION COLLEGE PRANTIJ (Id: C-6693),1,0,0,1,100,NA,NA,100,0,NA,NA,0
7783,Shri V.T.Choksi Suryapur Sanskrit Mahavidyalaya (Id: C-1104),1,0,0,1,50,NA,NA,50,30,NA,NA,30
7784,"Shri Yashwat B.Ed. College, Vijay Nagar, Indore (Id: C-29871)",0,1,0,1,NA,80,NA,80,NA,22,NA,22
7785,"Shri Yogiraj Sanskrit Mahavidyalaya, Gopal Mandir Ramghat Ayodhya (Id: C-20369)",1,0,0,1,100,NA,NA,100,25,NA,NA,25
7786,"SHRIYUT COLLEGE GANGAVE,REWA (Id: C-31847)",1,0,0,1,80,NA,NA,80,80,NA,NA,80
7787,Shri Z N Patel Cheritable Trust Sanchalit Master of Social Work (Id: C-4115),1,1,0,2,100,50,NA,150,60,10,NA,70
7788,Shubham Institute of Nursing Science and Research Center (Id: C-6124),1,2,0,3,50,300,NA,350,20,160,NA,180
7789,"Shubham Shikshan Mahavidhyalaya, Shubham Shikshan Ssmiti, Vidya Vihar Mahavidyalaya Parisar, Shubham vihar, Bilaspur (Id: C-22363)",1,0,0,1,25,NA,NA,25,20,NA,NA,20
7790,"Shubhdeep College of Nursing, Indore (Id: C-47331)",1,1,0,2,20,75,NA,95,20,75,NA,95
7791,Shushrutha College of Nursing (Id: C-44830),0,1,0,1,NA,100,NA,100,NA,43,NA,43
7792,"Shushruti College of Education, No.68, Shushruthinagar, Andrahalli Main Road, Peenya 2nd Stage, Bangalore -91 (Id: C-21132)",1,1,0,2,100,100,NA,200,17,30,NA,47
7793,Shushruti College of Nursing (Id: C-44908),1,1,0,2,100,100,NA,200,2,14,NA,16
7794,"Shushruti Institute of Business Management, #68, Shushruti Nagar, Andrahalli mn road, Peenya 2nd Stage, Bangalore -91 (Id: C-21122)",1,1,0,2,50,50,NA,100,4,2,NA,6
7795,"Shyama Charan Banushi,Banka (Id: C-9669)",1,0,0,1,30,NA,NA,30,10,NA,NA,10
7796,Shyama Sundar Sanskrit College (Id: C-44064),1,0,0,1,60,NA,NA,60,42,NA,NA,42
7797,Shyampur Siddheswari Mahavidyalaya (Id: C-42804),1,1,0,2,14,40,NA,54,14,0,NA,14
7798,Shyamsundar College (Id: C-44639),2,1,0,3,180,120,NA,300,100,20,NA,120
7799,"Shyam Sunder Memrial (PG) College, Chandausi (Id: C-13398)",1,0,0,1,90,NA,NA,90,0,NA,NA,0
7800,Sibsagar College P.O. Sibsagar-785665 (Id: C-8377),1,2,0,3,40,120,NA,160,40,120,NA,160
7801,Sibsagar Commerce College P.O. Sibsagar-- 785640 (Id: C-8443),1,1,0,2,20,36,NA,56,11,25,NA,36
7802,Sibsagar Girls College P.O.Sibsagar-785640 (Id: C-8380),0,1,0,1,NA,170,NA,170,NA,0,NA,0
7803,Siddaganga Institute of Nursing Sciences and Research Centre (Id: C-40412),0,1,0,1,NA,450,NA,450,NA,150,NA,150
7804,"Siddaganga Institute of Technology, TUMKUR (Id: C-1297)",5,2,0,7,1668,533,NA,2201,1485,474,NA,1959
7805,Siddagnaga College of Pharmacy (Id: C-40599),1,1,0,2,100,60,NA,160,60,45,NA,105
7806,Siddarameshwar Ayurvedic Medical College (Id: C-40595),1,1,0,2,50,45,NA,95,28,26,NA,54
7807,"Siddardha College of Computer Science, Musunur (Id: C-24827)",0,1,0,1,NA,80,NA,80,NA,0,NA,0
7808,"Siddartha Institute of Management Studies (B.B.A) Marata Colony Road, Dharawad (Id: C-35577)",1,0,0,1,50,NA,NA,50,14,NA,NA,14
7809,"Siddhant Institute of Business Management, A/p. Sudumbare, Tal. Maval, Dist.Pune 412109 (Id: C-41220)",1,1,0,2,400,150,NA,550,250,75,NA,325
7810,Siddhartha College of Teacher Education (Id: C-14553),1,1,0,2,100,100,NA,200,5,10,NA,15
7811,"Siddhartha First Grade College, Chamarajanagar (Id: C-17433)",1,0,0,1,100,NA,NA,100,30,NA,NA,30
7812,Siddhartha Institute of Computer Science (Id: C-25510),1,1,0,2,200,200,NA,400,15,30,NA,45
7813,Siddhartha Institute of Engineering and Technology (Id: C-19939),1,1,0,2,350,200,NA,550,345,201,NA,546
7814,Siddhartha Institute of Pharmacy (Id: C-21262),1,1,0,2,96,96,NA,192,36,24,NA,60
7815,"Siddhartha Institute of Science and Technology, Puttur (Id: C-26976)",1,1,0,2,200,200,NA,400,180,200,NA,380
7816,SIDDHARTHA INSTT.OF HOTEL MANAGEMENT and C (Id: C-25410),1,0,0,1,250,NA,NA,250,30,NA,NA,30
7817,"Siddharth Institute of Engineering and Technology, Puttur (Id: C-26859)",1,1,0,2,240,240,NA,480,240,240,NA,480
7818,"Siddheshwar Law College, Bijapur. (Id: C-9856)",1,1,0,2,200,200,NA,400,120,60,NA,180
7819,Siddheswar College (Id: C-21354),0,1,0,1,NA,28,NA,28,NA,28,NA,28
7820,Siddhivinayak Ayurvedic Medical College (Id: C-40059),1,1,0,2,120,60,NA,180,98,50,NA,148
7821,Siddhivinayak Shikshan Prasarak Mandals R B B.Ed. College Ram Nagar Rawate Compound Tembe Pada Road Bhandup (East) Mumbai 400 078 (Id: C-34010),1,1,0,2,40,18,NA,58,24,8,NA,32
7822,Siga College of Education (Id: C-14401),1,1,0,2,50,50,NA,100,2,2,NA,4
7823,"SIGA College of Management and Computer Science,Kappiyampuliyur,Villupuram-605 601 (Id: C-36415)",1,1,0,2,50,50,NA,100,8,5,NA,13
7824,Sigma Institute of Physiotherapy (Id: C-6065),1,1,0,2,200,160,NA,360,0,18,NA,18
7825,Sigma Institute of Technology and Engg.( Polytechnic) (648) (Id: C-289),0,1,0,1,NA,500,NA,500,NA,450,NA,450
7826,"Sikkim Government College,Tadong (Id: C-6603)",2,1,0,3,36,40,NA,76,28,39,NA,67
7827,Sikkim Manipal College of Nursing (SMCON) (Id: C-8624),0,1,0,1,NA,273,NA,273,NA,162,NA,162
7828,Sikkim Manipal College of Physiotherapy (SMCOP) (Id: C-8626),1,1,0,2,30,30,NA,60,4,11,NA,15
7829,Sikkim Manipal Institute of Medical Sciences (SMIMS) (Id: C-8625),1,1,0,2,300,300,NA,600,180,272,NA,452
7830,Sikkim Manipal Institute of Technology (SMIT) (Id: C-8627),2,3,0,5,1824,742,NA,2566,1584,697,NA,2281
7831,Silapathar Collge. P.O. Silapathar-787058 (Id: C-8395),0,1,0,1,NA,52,NA,52,NA,45,NA,45
7832,Silapathar Town College P.O.Silapathar- 787059 (Id: C-8423),0,1,0,1,NA,45,NA,45,NA,37,NA,37
7833,Silda Chandrasekhar College (Id: C-19054),1,1,0,2,80,30,NA,110,80,30,NA,110
7834,"Silicon City College, Ravindra Layout, #35, 41 and42/26-/2 KR Puram, Basavanapura Road, Bangalore -36 (Id: C-20931)",1,1,0,2,40,40,NA,80,27,18,NA,45
7835,"Silicon Institute of Technology (SIT), Bhubaneswar (Id: C-30153)",1,1,0,2,700,600,NA,1300,663,528,NA,1191
7836,"Silicon Institute of Technology (SIT), Sambalpur (Id: C-30072)",1,1,0,2,500,200,NA,700,285,108,NA,393
7837,"SILIGURI B ED COLLEGE, DARJEELING (Id: C-45343)",0,1,0,1,NA,24,NA,24,NA,13,NA,13
7838,"SILIGURI COLLEGE, DARJEELING (Id: C-45344)",1,1,0,2,62,48,NA,110,62,48,NA,110
7839,Siliguri Institute of Technology 119-ENGG (Id: C-6216),3,3,0,6,115,150,NA,265,103,137,NA,240
7840,SILIGURI INSTITUTE OF TECHNOLOGY 119-MCA (Id: C-6225),4,2,0,6,155,110,NA,265,135,105,NA,240
7841,Siliguri Institute of Technology 119-WBUT (Id: C-6191),4,2,0,6,155,110,NA,265,135,105,NA,240
7842,Siliguri Institute of Technology (HMCT) 119-HMCT (Id: C-6297),4,2,0,6,155,110,NA,265,135,105,NA,240
7843,"Silver Jubilee Govt. Degree College (PG), Kurnool (Id: C-26331)",1,0,0,1,840,NA,NA,840,632,NA,NA,632
7844,"SI-MET College of Nursing, Palluruthy, Ernakulam (Id: C-11599)",0,1,0,1,NA,70,NA,70,NA,65,NA,65
7845,"Simhadri Educational Society Group of Institutions, Narapadu (V), Sabbavaram Mandal, Sabbavaram To Ankapalli Road, PIN- 531002 (CC-6J) (Id: C-18120)",1,0,0,1,100,NA,NA,100,90,NA,NA,90
7846,SIMS College of Education (Id: C-37210),1,1,0,2,100,100,NA,200,35,40,NA,75
7847,"SIMS College of Life Sciences, Guntur (Id: C-41033)",1,1,0,2,50,50,NA,100,10,10,NA,20
7848,SIMS College of Pharmacy (Id: C-32788),1,1,0,2,300,300,NA,600,141,121,NA,262
7849,Simulia College (Id: C-21344),1,0,0,1,32,NA,NA,32,30,NA,NA,30
7850,Sindagi Shanthaveereshwara Ayurvedic Medical College (Id: C-40479),1,1,0,2,100,20,NA,120,100,20,NA,120
7851,"Sindhu College of I.T. and Science, Degloor (Id: C-7349)",1,0,0,1,20,NA,NA,20,20,NA,NA,20
7852,Sindhudurg Education Societys V Y S B Ed College Tonadavli Nandgaon Titha Tal Kankavli Dist Sindhudurg (Id: C-33707),0,1,0,1,NA,50,NA,50,NA,2,NA,2
7853,Sindhudurg Shikshan Prasarak Mandal College of Engineering I T I Building Sindhu Nagari At and Post Oros Taluka Kudal Dist Sindhudurg 416 812 (Id: C-33526),1,1,0,2,204,128,NA,332,145,92,NA,237
7854,"SINDRI COLLEGE, SINDRI, DHANBAD (Id: C-44383)",0,1,0,1,NA,80,NA,80,NA,0,NA,0
7855,"Singareni Collieries Womens Degree College, Kothagudem (Id: C-27447)",0,3,0,3,NA,556,NA,556,NA,632,NA,632
7856,"Singareni Mahila Degree College, # 16-41, Andugulapet (V), Mandamarri (Id: C-27547)",0,1,0,1,NA,150,NA,150,NA,100,NA,100
7857,SINHAGAD BUSINESS SCHOOL KEGAON SOLAPUR PUNE ROAD SOLAPUR -413 255. DIST-SOLAPUR MAHARASHTRA (Id: C-36914),1,1,0,2,90,60,NA,150,7,6,NA,13
7858,SINHAGAD INSTITUTE OF COMPUTER SCIENCES KORTI TAL PANDHARPUR DIST-SOLAPUR (Id: C-37205),2,2,0,4,1440,736,NA,2176,190,149,NA,339
7859,SINHGAD INSTITUTE OF BUSSNESS MANGEMENT(MBA) KAMALAPUR TAL.SANGOLA DIST-SOLAPUR (Id: C-44812),1,1,0,2,80,80,NA,160,27,14,NA,41
7860,SINHGAD INSTITUTE OF BUSSNESS MANGEMENT(MCA) KAMALAPUR TAL.SANGOLA DIST-SOLAPUR (Id: C-44811),1,1,0,2,160,160,NA,320,81,23,NA,104
7861,"Sinhgad Management School, Kondhapuri, Tal.Shirur, Dist.Pune 412208 (Id: C-41277)",1,1,0,2,192,192,NA,384,77,15,NA,92
7862,"Sinhgad Nursing College, Pune (B.Sc.) (Id: C-13865)",1,1,0,2,100,200,NA,300,10,40,NA,50
7863,SINHGAD SCHOOL OF COMPUTER STUDIES KEGAON SOLAPUR (Id: C-43890),1,1,0,2,90,90,NA,180,14,10,NA,24
7864,"Sinhgad Technical Education Societys College of Architecture, Vadgaon bk, Sinhgad road, Pune41 (Id: C-42000)",1,1,0,2,2680,4624,NA,7304,77,147,NA,224
7865,"Sinhgad Technical Education Societys College of Pharmacy, Vadgaon bk, Sinhgad Road, Pune 41 (Id: C-41900)",3,3,0,6,1184,695,NA,1879,49,43,NA,92
7866,"Sinhgad Technical Education Societys Commerce College, Kondhawa bk., Dist.Pune (Id: C-42095)",1,1,0,2,500,380,NA,880,18,24,NA,42
7867,"SINHGAD TECHNICAL EDUCATION SOCIETYS NBN SINHGAD TECHNICAL INSTITUTES CAMPUS, PUNE (Id: C-45895)",1,1,0,2,200,200,NA,400,135,45,NA,180
7868,"Sinhgad Technical Education Societys Nivrutti Babaji Navale College of Commerce, Kusagaon bk., Lonavala,Tal. Maval,Dist.Pune (Id: C-42154)",1,1,0,2,300,100,NA,400,40,10,NA,50
7869,"Sinhgad Technical Education Societys Sinhgad Academy of Engineering,Kondhawa bk., Dist.Pune 48 (Id: C-42102)",2,1,0,3,524,520,NA,1044,377,344,NA,721
7870,"Sinhgad Technical Education Societys Sinhgad Arts and Commerce College ,Narhe,Tal.Haveli, Dist. Pune (Id: C-41499)",1,1,0,2,300,300,NA,600,59,29,NA,88
7871,"Sinhgad Technical Education Societys Sinhgad College of Education,Narhe Ambegaon,Pune 41 (Id: C-41795)",1,1,0,2,352,250,NA,602,0,1,NA,1
7872,"Sinhgad Technical Education Societys Sinhgad College of Education, Vadgaon bk., Sinhgad Road,Pune 41 (Id: C-42186)",1,1,0,2,100,100,NA,200,0,0,NA,0
7873,"Sinhgad Technical Education Societys Sinhgad College of Science, Vadgaon bk., Sinhgad road, Pune 41 (Id: C-41427)",1,1,0,2,4000,4000,NA,8000,480,234,NA,714
7874,"Sinhgad Technical Education Societys Sinhgad Institute of Hotel Management and Catering Technology, Kusgaon Bk., Lonavala, Tal. Maval, Dist.Pune 410401 (Id: C-41973)",1,1,0,2,384,440,NA,824,80,20,NA,100
7875,"Sinhgad Technical Education Societys Sinhgad Institute of Management and Computer Application, Narhe Ambegaon, Dist. Pune 411041 (Id: C-42028)",1,1,0,2,400,200,NA,600,268,115,NA,383
7876,"Sinhgad Technical Education Societys Sinhgad Institute of Management,Business Administration and Computer Application, Kusgaon Bk., Lonavala, Tal. Maval, Dist.Pune 410401 (Id: C-41698)",3,5,0,8,1152,1193,NA,2345,1000,1100,NA,2100
7877,"Sinhgad Technical Education Societys Sinhgad Institute of Management, Business Administration and Research, Kondhawa Bk., Pune 411048 (Id: C-42088)",1,1,0,2,200,100,NA,300,30,67,NA,97
7878,"Sinhgad Technical Education Societys Sinhgad Institute of Management, Vadgaon Bk., Off. Sinhgad Road, Pune 411041 (Id: C-41424)",1,1,0,2,600,510,NA,1110,273,271,NA,544
7879,"Sinhgad Technical Education Societys Sinhgad Institute of Pharmaceutical Science, Kusagaon bk., Lonavala,Tal. Maval,Dist.Pune (Id: C-41581)",1,1,0,2,200,200,NA,400,147,76,NA,223
7880,"Sinhgad Technical Education Societys Sinhgad Institute of Pharmacy, Pune Mumbai Bypass Highway, Narhe Ambegaon,Dist.Pune 41 (Id: C-41394)",1,1,0,2,432,560,NA,992,34,45,NA,79
7881,"Sinhgad Technical Education Societys Sinhgad Institute of Technology, Kusagaon bk., Lonavala,Tal. Maval,Dist.Pune (Id: C-41599)",12,6,0,18,2321,1624,NA,3945,1672,906,NA,2578
7882,"Sinhgad Technical Education Societys Sinhgad Institute of Technology and Science , Narhe Ambegaon,Pune 41 (Id: C-41214)",2,2,0,4,638,560,NA,1198,638,560,NA,1198
7883,"Sinhgad Technical Education Societys Sinhgad Law College, Kondhawa Bk. , Pune 48 (Id: C-41948)",1,1,0,2,12,17,NA,29,12,17,NA,29
7884,"Sinhgad Technical Education Society's Sinhgad School of Business Studies, Narhe, Pune (Id: C-44593)",1,1,0,2,60,30,NA,90,47,29,NA,76
7885,"SINHGAD TECHNICAL EDUCATION SOCIETYS SKN SINHGAD INSTITUTE OF TECHNOLOGY AND SCIENCE, PUNE (Id: C-45897)",20,1,1,22,3796,440,88,4324,3495,395,21,3911
7886,"Sinhgad Technical Education Society's S.K.N. Sinhgad School of Business Management, S.No. 10/1, Ambegaon Bk., Tal. Haveli, Dist. Pune 411041. (Id: C-44590)",1,1,0,2,448,448,NA,896,48,43,NA,91
7887,"Sinhgad Technical Education Societys Smt.Kashibai Navale College of Education, Kusagaon bk., Lonavala,Tal. Maval,Dist.Pune (Id: C-41845)",1,1,0,2,100,100,NA,200,20,35,NA,55
7888,"Sinhgad Technical Education Societys Smt. Kashibai Navale College of Engineering, Vadgaon bk., Sinhgad road, Pune 41 (Id: C-41958)",1,1,0,2,810,560,NA,1370,186,333,NA,519
7889,"Sinhgad Technical Education Societys Smt. Kashibai Navale College of Pharmacy, Kondhawa bk.,Dist.Pune 48 (Id: C-41232)",2,2,0,4,240,100,NA,340,30,48,NA,78
7890,"Sinhgad Technical Edu. Societys Smt. Kashibai Navale Med Colle. and General Hosp., Narhe, Ambegaon, Pune (Id: C-13781)",1,1,0,2,315,279,NA,594,199,150,NA,349
7891,"S. I. N. P. S. JANKI KUND CHITRAKUT, SATNA (Id: C-31830)",1,1,0,2,150,50,NA,200,81,6,NA,87
7892,Sipajhar College (Id: C-17226),0,1,0,1,NA,40,NA,40,NA,40,NA,40
7893,SIR C.R.R. COLLEGE FOR WOMEN (Id: C-23986),0,3,0,3,NA,900,NA,900,NA,724,NA,724
7894,Sir C.R.R. College Of Engineerng (Id: C-23901),1,1,0,2,326,246,NA,572,326,246,NA,572
7895,"SIRDA Institute of Engineering and Technology for Women, Naulakda Troat, Sunder Nagar, Distt Mandi (Id: C-11328)",1,1,0,2,120,250,NA,370,55,106,NA,161
7896,"Sir H.N. Hospital and Research College of Nursing (B.Sc.), Mumbai (Id: C-14026)",0,1,0,1,NA,100,NA,100,NA,16,NA,16
7897,Siri PSG Arts and Science College for Women (Id: C-9509),0,1,0,1,NA,100,NA,100,NA,15,NA,15
7898,Sir Isaac Newton College of Engineering and Technology (New) (Id: C-25002),1,1,0,2,100,75,NA,175,80,72,NA,152
7899,"Sir Issac Newton Arts and Science College, Pappakoil Village, Anthanapettai (Po), Nagapttinam Dt. - 611 001 (Id: C-35833)",1,1,0,2,25,25,NA,50,0,0,NA,0
7900,Sir Issac Newton College of Education (Id: C-14773),1,1,0,2,50,50,NA,100,0,0,NA,0
7901,"""Sir. J. J. College of Architecture, Dr. Dadabhai Nawroji Road, Fort, Mumbai-400 001. "" (Id: C-34173)",1,0,0,1,20,NA,NA,20,15,NA,NA,15
7902,"SIR MADAN LAL INSTITUTE OF EDUCATION, ALAMPUR HAUZ, (Id: C-12557)",1,1,0,2,75,50,NA,125,23,30,NA,53
7903,"Sir Mohamed Yusuf Seamen Welfare Foundationss B.Sc Nautical Science), Nhava Panvel Dist Raigad (Id: C-33614)",3,1,0,4,502,8,NA,510,452,3,NA,455
7904,"Sir M Visvesvaraya Institute of Technology, BANGALORE (Id: C-1327)",4,2,0,6,750,420,NA,1170,680,420,NA,1100
7905,Sir P.P. Institute of Science (Id: C-7203),1,0,0,1,146,NA,NA,146,146,NA,NA,146
7906,"Sir Syed College,PO- Karimbam,Taliparamba (Id: C-43807)",1,1,0,2,100,170,NA,270,50,150,NA,200
7907,"SIR SYED MEMORIAL COLLEGE OF EDUCATION, BUDGAM (Id: C-45981)",0,1,0,1,NA,200,NA,200,NA,60,NA,60
7908,Sishu Bikash College of Education (Id: C-11888),1,1,0,2,50,50,NA,100,6,5,NA,11
7909,"Sister Care College of Nursing, Guntur (Id: C-30566)",0,1,0,1,NA,280,NA,280,NA,280,NA,280
7910,Sister Florence College of Nursing (Id: C-16433),0,7,0,7,NA,94,NA,94,NA,84,NA,84
7911,"Sitadevi Ratan Chand Nahar Adarsh College, 75, Devathachar Street, 5th main Chamarjpet,Bangalore-18 (Id: C-21139)",2,1,0,3,100,25,NA,125,100,25,NA,125
7912,Sitananda College (Id: C-19081),1,1,0,2,30,54,NA,84,30,30,NA,60
7913,"SITAPUR SHIKSHA SANSTHAN, (Id: C-12567)",1,1,0,2,100,100,NA,200,30,25,NA,55
7914,Sitaram Samarpan Mahavidyalaya (Id: C-22537),1,0,0,1,20,NA,NA,20,11,NA,NA,11
7915,Sivagamiammal College of Arts and Science (Id: C-9500),1,0,0,1,50,NA,NA,50,50,NA,NA,50
7916,Sivaji College of Engineering and Technology (Id: C-27049),1,0,0,1,180,NA,NA,180,42,NA,NA,42
7917,"Sivananda College of Nursing, Karimnagar (Id: C-30487)",0,1,0,1,NA,200,NA,200,NA,61,NA,61
7918,"Sivanthi Aditanar College, Pillayarpuram, Nagercoil - 629 501 (Id: C-41185)",1,0,0,1,80,NA,NA,80,43,NA,NA,43
7919,"SIVARAJ HOMOEOPATHIC MEDICAL COLLEGEAND RESEARCH INSTITUTE SALEM, SALEM (Id: C-45696)",1,1,0,2,50,100,NA,150,10,60,NA,70
7920,"SIVARAJ NATUROPATHY AND YOGA MEDICAL COLLEGE SALEM, SALEM (Id: C-45693)",1,1,0,2,150,150,NA,300,9,36,NA,45
7921,"SIVARAJ SIDDHA MEDICAL COLLEGE SALEM, SALEM (Id: C-45699)",1,1,0,2,50,100,NA,150,7,65,NA,72
7922,SIVET COLLEGE (Id: C-43960),0,1,0,1,NA,130,NA,130,NA,23,NA,23
7923,"Siwan Engineering and Technical Institute, Siwan (Id: C-6469)",0,1,0,1,NA,24,NA,24,NA,24,NA,24
7924,"SJB College of Education ,BGS Health Education City, No.67, Uttarahalli Road, Kengeri, Bangalore -60 (Id: C-21040)",0,0,1,1,NA,NA,100,100,NA,NA,89,89
7925,"SJB College of Management Studies, #67, BGS Health and Education City, Kengeri, Bangalore -560 060(10-11) (Id: C-21174)",1,1,0,2,200,200,NA,400,10,2,NA,12
7926,SJB College of Nursing (Id: C-40104),1,1,0,2,100,400,NA,500,80,250,NA,330
7927,"S J B Institute of Technology, BANGALORE (Id: C-1271)",2,1,0,3,610,190,NA,800,504,180,NA,684
7928,"S J C Institute of Technology, CHICKBALLAPUR (Id: C-1320)",1,1,0,2,630,460,NA,1090,561,368,NA,929
7929,"S J C Institute of Technology, Chickballapur (QIP Centre) (Id: C-1417)",1,1,0,2,630,460,NA,1090,590,450,NA,1040
7930,"S.J.E.S College of Hotel Mangament, Medahalli, Old Madras Road, Bangalore-49 (Id: C-21136)",1,1,0,2,91,91,NA,182,60,40,NA,100
7931,"S.J.G. College of Education, Anandapura, Sagara Taluka. (Id: C-17840)",1,1,0,2,25,25,NA,50,7,20,NA,27
7932,S J M College of Pharmacy (Id: C-40420),1,1,0,2,150,200,NA,350,100,150,NA,250
7933,SJM Dental College and Hospital (Id: C-40437),1,1,0,2,200,220,NA,420,100,150,NA,250
7934,"S.J.M. First Grade Arts and Commerce College, Tarikere. (Id: C-17770)",0,1,0,1,NA,60,NA,60,NA,0,NA,0
7935,S.J.M. Institute of Nursing Sciences (Id: C-40336),0,1,0,1,NA,235,NA,235,NA,65,NA,65
7936,"S J M Institute of Technology, CHITRADURGA (Id: C-1266)",1,1,0,2,300,240,NA,540,210,145,NA,355
7937,"S.J.M. Law College, Chitraduraga (Id: C-9810)",1,1,0,2,100,100,NA,200,2,1,NA,3
7938,"S.J.M.S.V. T.T. College, Dalsingsarai (Id: C-8726)",0,1,0,1,NA,50,NA,50,NA,25,NA,25
7939,"SJMV's Arts and Commerce College for Women J.C. Nagar,Hubli-580 020 (Id: C-8689)",0,1,0,1,NA,90,NA,90,NA,70,NA,70
7940,"SJMV's Business Administration College for Women J.C.Nagar, Hubli-580 020 (Id: C-8642)",0,1,0,1,NA,78,NA,78,NA,10,NA,10
7941,"SJPE. Homoeopathy College, Kolhapur (Id: C-13940)",1,1,0,2,50,25,NA,75,0,20,NA,20
7942,"S.J.V.P. College, Autonomous,Harihara (Id: C-17688)",0,1,0,1,NA,25,NA,25,NA,25,NA,25
7943,S.K. Acharya Institute of Law (Id: C-7106),1,1,0,2,100,100,NA,200,100,100,NA,200
7944,"S.K. Arts and Science College, Thamaraipulam, Vedaranyam, 614 809. (Id: C-35836)",0,0,1,1,NA,NA,100,100,NA,NA,25,25
7945,"S K ARTS/ COMM COLLEGE, TALIKOTI (Id: C-9984)",1,1,0,2,48,48,NA,96,30,24,NA,54
7946,"S.K COLLEGE,G.T ROAD ETAH (Id: C-15449)",1,0,0,1,25,NA,NA,25,15,NA,NA,15
7947,SK College of Agriculture and Research Centre (Id: C-33318),1,1,0,2,25,50,NA,75,25,50,NA,75
7948,"SKES'S G S BCA COLLEGE, BELGAUM (Id: C-10099)",1,1,0,2,5,5,NA,10,3,2,NA,5
7949,"SKES'S G S SCIENCE COLLEGE, , BELGAUM (Id: C-9998)",1,1,0,2,50,56,NA,106,2,13,NA,15
7950,"SKES'S RANI PARVATI DEVI BBA COLLEGE, , BELGAUM (Id: C-10097)",1,1,0,2,5,5,NA,10,3,3,NA,6
7951,"SKES'S RPD COLLEGE, , BELGAUM (Id: C-10167)",1,1,0,2,56,50,NA,106,54,50,NA,104
7952,SKET SHRI B J GADHAVI COLLEGE OF EDUCATION (Id: C-6664),1,0,1,2,100,NA,100,200,50,NA,25,75
7953,S.K. Mahila College (Id: C-8757),0,2,0,2,NA,53,NA,53,NA,0,NA,0
7954,SKN SINHAGAD BUSINESS SCHOOL KORTI TAL PANDHARPUR DIST-SOLAPUR (Id: C-15700),1,1,0,2,120,120,NA,240,39,24,NA,63
7955,SKN SINHAGAD COLLEG OF ENGINEERING KORTI TAL PANDHARPUR DIST-SOLAPUR (Id: C-15745),1,1,0,2,500,300,NA,800,300,200,NA,500
7956,S K PATEL INSTITUTE OF MANAGEMENT AND COMPUTER STUDIES (Id: C-1081),1,0,0,1,100,NA,NA,100,100,NA,NA,100
7957,S.K.P Engineering College (Id: C-16459),3,1,0,4,760,300,NA,1060,630,250,NA,880
