SI. No.,Name of Institution,Number of Hostels - Boys,Number of Hostels - Girls,Number of Hostels - Others,Number of Hostels - Total,Intake Capacity - Boys,Intake Capacity - Girls,Intake Capacity - Others,Intake Capacity - Total,Number of Students Residing - Boys,Number of Students Residing - Girls,Number of Students Residing - Others,Number of Students Residing - Total
1206,"Bhagalpur Engineering College, Bhagalpur (Id: C-42781)",4,1,0,5,560,150,NA,710,459,150,NA,609
1207,Bhagath College of Nursing (Id: C-40496),1,1,0,2,100,300,NA,400,100,300,NA,400
1208,Bhagat Kabir College of Education (Id: C-22890),0,1,0,1,NA,60,NA,60,NA,0,NA,0
1209,Bhagawan Mahaveer Ayurvedic Medical College (Id: C-40428),1,1,0,2,100,75,NA,175,90,70,NA,160
1210,Bhagawan Mahaveer Jain College of Nursing (Id: C-40334),0,1,0,1,NA,150,NA,150,NA,70,NA,70
1211,BHAGIRATHI MAHILA B C A COLLEGE (Id: C-47810),0,2,0,2,NA,110,NA,110,NA,40,NA,40
1212,Bhagwan Buddha Homoeopathic Medical College and Hospital (Id: C-40347),1,1,0,2,32,80,NA,112,15,75,NA,90
1213,Bhagwan Mahavir College of Biotechnology (Id: C-487),1,1,0,2,50,50,NA,100,1,2,NA,3
1214,BHAGWAN MAHAVIR COLLEGE OF EDUCATION (Id: C-28481),1,0,0,1,100,NA,NA,100,85,NA,NA,85
1215,"BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH(006), SURAT (Id: C-175)",1,1,0,2,100,50,NA,150,65,25,NA,90
1216,Bhagwan Mahavir College of Management-(504)Surat (MCA ) (SFI) (Id: C-366),1,1,0,2,100,30,NA,130,0,0,NA,0
1217,"Bhagwan Mahavir College of Management (MBA)(SFI),Vesu,Surat. (Id: C-291)",0,0,1,1,NA,NA,100,100,NA,NA,98,98
1218,Bhagwan Mahavir Jain Girls College of Education (Id: C-32904),0,1,0,1,NA,70,NA,70,NA,19,NA,19
1219,Bhagwan Parshu Ram College of Engg. (Id: C-19297),1,1,0,2,105,70,NA,175,90,25,NA,115
1220,Bhagwan Parshuram Institute of Technology (Id: C-32912),0,1,0,1,NA,128,NA,128,NA,25,NA,25
1221,"BHAGWANT RAO MANDALOI, COLLEGE OF AGRICULTURE, KHANDWA (Id: C-45271)",0,1,0,1,NA,52,NA,52,NA,52,NA,52
1222,"Bhagwantrao Shivaji Patil Mahavidyalaya , Partwada, Tq-Achalpur city. (Id: C-43219)",0,1,0,1,NA,42,NA,42,NA,42,NA,42
