Programme,1st Year Enrolment - Male,1st Year Enrolment - Female,1st Year Enrolment - Total,2nd Year Enrolment - Male,2nd Year Enrolment - Female,2nd Year Enrolment - Total,3rd Year Enrolment - Male,3rd Year Enrolment - Female,3rd Year Enrolment - Total,4th Year Enrolment - Male,4th Year Enrolment - Female,4th Year Enrolment - Total,5th Year Enrolment - Male,5th Year Enrolment - Female,5th Year Enrolment - Total,6th Year Enrolment - Male,6th Year Enrolment - Female,6th Year Enrolment - Total,7th Year Enrolment - Male,7th Year Enrolment - Female,7th Year Enrolment - Total,8th Year Enrolment - Male,8th Year Enrolment - Female,8th Year Enrolment - Total
B.S.S.-Bachelor in Social Sciences,116,31,147,13,10,23,24,14,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Stat.-Bachelor of Statistics,27,53,80,19,62,81,18,50,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.S.W.-Bachelor of Social Work,2117,1546,3663,1651,1307,2958,1467,1207,2674,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Tech.-Bachelor of Technology,221129,101854,322983,223429,105694,329123,204107,96492,300599,189110,90374,279484,294,201,495,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B.Tech M.Tech-Bachelor of Technology, Master of Technology",319,163,482,257,136,393,126,116,242,80,71,151,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.U.M.S.-Bachelor of Unani Medicine and Surgery,417,457,874,336,254,590,306,193,499,156,48,204,135,69,204,59,5,64,NA,NA,NA,NA,NA,NA
B.Voc.-Bachelor of Vocational Education,149,94,243,20,57,77,58,66,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.V.Sc.andA.H.-Bachelor of Veterinary Science and Animal Husbandry,1139,501,1640,994,447,1441,1092,447,1539,541,322,863,691,320,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.V.Sc.-Bachelor of Veterinary Science,90,63,153,38,50,88,45,40,85,52,35,87,34,29,63,NA,NA,NA,NA,NA,NA,NA,NA,NA
Certificate-Certificate,11242,13560,24802,1866,1597,3463,832,435,1267,9,64,73,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.P.A.-Certified Public,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D.Ed.-Diploma in Education,1669,3342,5011,1281,2895,4176,13,37,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diploma-Diploma,58796,20969,79765,41855,11620,53475,29455,7580,37035,699,455,1154,26,21,47,3,10,13,NA,NA,NA,NA,NA,NA
D.Litt.-Doctor of Literature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D.M.-Doctor of Medicine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D.Mus.-Doctor of Music,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D.O.L.-Doctor of Oriental Learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D.Pharma-Diploma in Pharmacy,2031,901,2932,1586,837,2423,68,74,142,70,59,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D.Phil.-Doctor of Philosophy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D.Sc.-Doctor of Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D.Voc.-Diploma in Vocational Education,21,16,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G.N.M.-General Nursing and Midwifery,426,2652,3078,439,2325,2764,297,2065,2362,161,1675,1836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hindi Shiksha Visharad-Hindi Shiksha Visharad,8,28,36,11,25,36,15,21,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Integrated M.A.-Integrated Master of Arts,49,69,118,11,29,40,11,16,27,0,3,3,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Integrated M.B.A.-Integrated Master of Business Administration,120,203,323,123,202,325,130,184,314,106,128,234,84,109,193,NA,NA,NA,NA,NA,NA,NA,NA,NA
Integrated M.C.A.-Integrated Master of Computer Applications,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Integrated M.Sc.-Integrated Master of Science,241,315,556,255,330,585,221,312,533,280,365,645,405,288,693,58,65,123,NA,NA,NA,NA,NA,NA
Integrated Ph.D-Integrated Doctor of Philosophy,132,185,317,82,94,176,25,18,43,0,1,1,2,3,5,6,4,10,NA,NA,NA,NA,NA,NA
L.L.B.-Bachelor of Law or Laws,38507,15509,54016,23478,10326,33804,20184,8831,29015,1772,1571,3343,1782,1549,3331,101,88,189,69,73,142,50,68,118
L.L.D.-Doctor of Laws,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L.L.M.-Master of Law or Laws,1503,1248,2751,1099,886,1985,22,14,36,8,5,13,8,9,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M.A. B.Ed.-Master of Arts, Bachelor of Education",35,41,76,34,14,48,1,9,10,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.A.-Master of Arts,71851,105389,177240,52353,80602,132955,818,897,1715,164,330,494,151,209,360,0,0,0,0,0,0,NA,NA,NA
M.A.M.S.-Master of Ayurved in Medicine and Surgery,40,7,47,24,3,27,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.Arch.-Master of Architecture,68,141,209,31,93,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
